0	1358
1	3130
2	371
3	52
4	144
5	467
6	114
7	97
8	210
9	220
10	122
11	122
12	52
13	80
14	181
15	158
16	43
17	146
18	25
19	166
20	55
21	119
22	94
23	78
24	111
25	56
26	31
27	58
28	88
29	55
30	48
31	88
32	42
33	45
34	105
35	39
36	49
37	60
38	28
39	26
40	41
41	36
42	27
43	22
44	43
45	101
46	28
47	31
48	39
49	39
50	27
51	34
52	43
53	32
54	31
55	32
56	24
57	34
58	22
59	26
60	25
61	19
62	20
63	28
64	22
65	32
66	19
67	28
68	38
69	36
70	31
71	43
72	28
73	30
74	35
75	18
76	30
77	31
78	32
79	27
80	34
81	30
82	40
83	24
84	24
85	29
86	18
87	25
88	28
89	22
90	34
91	32
92	62
93	23
94	34
95	28
96	28
97	40
98	18
99	25
100	24
101	37
102	20
103	46
104	22
105	24
106	27
107	29
108	20
109	50
110	20
111	27
112	20
113	43
114	38
115	31
116	21
117	24
118	27
119	30
120	45
121	18
122	25
123	38
124	20
125	32
126	27
127	36
128	19
129	23
130	20
131	26
132	23
133	26
134	41
135	30
136	23
137	40
138	32
139	22
140	20
141	20
142	33
143	43
144	57
145	22
146	38
147	28
148	32
149	29
150	19
151	33
152	45
153	34
154	18
155	29
156	22
157	27
158	25
159	26
160	32
161	25
162	35
163	28
164	24
165	39
166	34
167	46
168	28
169	26
170	24
171	30
172	26
173	22
174	35
175	24
176	29
177	24
178	24
179	28
180	23
181	30
182	28
183	29
184	24
185	43
186	28
187	18
188	25
189	36
190	37
191	20
192	34
193	25
194	20
195	26
196	33
197	21
198	20
199	31
200	21
201	25
202	25
203	27
204	25
205	40
206	22
207	32
208	33
209	32
210	26
211	26
212	25
213	26
214	20
215	22
216	30
217	53
218	29
219	25
220	24
221	25
222	24
223	19
224	22
225	25
226	23
227	28
228	21
229	23
230	31
231	23
232	24
233	29
234	36
235	20
236	23
237	32
238	33
239	43
240	26
241	30
242	38
243	27
244	39
245	28
246	23
247	25
248	25
249	36
250	26
251	28
252	22
253	25
254	30
255	28
256	22
257	24
258	23
259	34
260	23
261	18
262	22
263	29
264	30
265	36
266	23
267	30
268	22
269	36
270	30
271	32
272	21
273	37
274	19
275	21
276	21
277	27
278	22
279	26
280	27
281	39
282	22
283	20
284	30
285	36
286	22
287	24
288	39
289	52
290	22
291	25
292	24
293	38
294	20
295	41
296	30
297	61
298	33
299	24
300	28
301	18
302	39
303	31
304	35
305	36
306	29
307	22
308	27
309	34
310	18
311	34
312	24
313	22
314	21
315	32
316	26
317	18
318	30
319	32
320	28
321	34
322	22
323	34
324	32
325	26
326	22
327	24
328	30
329	24
330	28
331	21
332	34
333	40
334	34
335	25
336	35
337	22
338	28
339	28
340	22
341	27
342	34
343	30
344	36
345	24
346	26
347	29
348	29
349	27
350	21
351	58
352	20
353	24
354	31
355	66
356	41
357	44
358	23
359	26
360	26
361	23
362	22
363	26
364	35
365	24
366	26
367	31
368	38
369	38
370	28
371	32
372	21
373	20
374	26
375	44
376	20
377	26
378	22
379	21
380	33
381	22
382	26
383	29
384	28
385	42
386	24
387	31
388	24
389	39
390	18
391	27
392	26
393	26
394	20
395	22
396	20
397	22
398	23
399	24
400	26
401	23
402	23
403	31
404	36
405	32
406	29
407	24
408	22
409	25
410	32
411	24
412	34
413	32
414	39
415	24
416	24
417	18
418	22
419	21
420	20
421	24
422	22
423	24
424	26
425	26
426	31
427	26
428	28
429	30
430	21
431	18
432	30
433	26
434	42
435	44
436	20
437	25
438	28
439	26
440	21
441	21
442	28
443	22
444	34
445	35
446	28
447	36
448	30
449	26
450	31
451	26
452	36
453	22
454	26
455	34
456	26
457	28
458	24
459	21
460	32
461	42
462	22
463	23
464	26
465	26
466	31
467	24
468	23
469	36
470	24
471	26
472	23
473	24
474	27
475	35
476	26
477	34
478	49
479	26
480	34
481	24
482	22
483	32
484	19
485	31
486	29
487	23
488	23
489	18
490	29
